GEO_ID,NAME,S2301_C01_001E
48005,"Angelina County, Texas",67284
48021,"Bastrop County, Texas",83338
48027,"Bell County, Texas",293140
48029,"Bexar County, Texas",1611230
48037,"Bowie County, Texas",73184
48039,"Brazoria County, Texas",301184
48041,"Brazos County, Texas",199320
48061,"Cameron County, Texas",319160
48085,"Collin County, Texas",908340
48091,"Comal County, Texas",149297
48099,"Coryell County, Texas",68283
48113,"Dallas County, Texas",2029646
48121,"Denton County, Texas",778983
48135,"Ector County, Texas",118592
48139,"Ellis County, Texas",163710
48141,"El Paso County, Texas",671860
48157,"Fort Bend County, Texas",684885
48167,"Galveston County, Texas",283588
48181,"Grayson County, Texas",113997
48183,"Gregg County, Texas",97086
48187,"Guadalupe County, Texas",144918
48201,"Harris County, Texas",3694254
48203,"Harrison County, Texas",2420575
48209,"Hays County, Texas",215229
48213,"Henderson County, Texas",68601
48215,"Hidalgo County, Texas",647435
48221,"Hood County, Texas",54944
48231,"Hunt County, Texas",85817
48245,"Jefferson County, Texas",196263
48251,"Johnson County, Texas",151666
48257,"Kaufman County, Texas",128140
48291,"Liberty County, Texas",75254
48303,"Lubbock County, Texas",252290
48309,"McLennan County, Texas",211052
48329,"Midland County, Texas",126939
48339,"Montgomery County, Texas",526182
48355,"Nueces County, Texas",278459
48361,"Orange County, Texas",66434
48367,"Parker County, Texas",130682
48375,"Potter County, Texas",88876
48381,"Randall County, Texas",116224
48397,"Rockwall County, Texas",95307
48409,"San Patricio County, Texas",54597
48423,"Smith County, Texas",189802
48427,"Starr County, Texas",47215
48439,"Tarrant County, Texas",1675807
48441,"Taylor County, Texas",113763
48451,"Tom Green County, Texas",93595
48453,"Travis County, Texas",1092268
48469,"Victoria County, Texas",70558
48471,"Walker County, Texas",68738
48479,"Webb County, Texas",194431
48485,"Wichita County, Texas",104393
48491,"Williamson County, Texas",529375
48497,"Wise County, Texas",59215
